p,op,layers,ood,pe,n,censored,median_onset
113,add,1,True,alibi,2,1,11520.0
113,add,1,True,learned,2,2,
113,add,1,True,nope,2,1,12655.0
113,add,1,True,rope,2,1,13700.0
113,add,1,True,sinusoidal,2,2,
