run,pe,seed,ood,epoch,embed_fourier_conc,logit_fourier_conc,key_freqs,restricted_loss,excluded_loss,train_loss_full,attn_entropy_eq,uniform_ablation_delta
p113_add_f0.3_alibi_L1_wd1.0_s0,alibi,0,False,-1,0.7575554251670837,0.9995701879398182,"[43, 17, 6, 24, 34]",2.6373735195761583e-08,16.961999893188477,2.2204670813152916e-07,0.49020475149154663,2.102414131164551
p113_add_f0.3_alibi_L1_wd1.0_s1,alibi,1,False,-1,0.8434975743293762,0.9984988143166122,"[32, 26, 1, 47, 18]",1.6035230032684922e-07,21.306129455566406,3.3649371289357077e-07,0.5163165330886841,1.3173832893371582
p113_add_f0.3_alibi_L1_wd1.0_s2,alibi,2,False,-1,0.7983487248420715,0.9991944506992951,"[46, 31, 13, 53, 50]",5.454084543998761e-07,10.528807640075684,2.0360441794764483e-06,0.5188636183738708,0.2310054451227188
p113_add_f0.3_alibi_L1_wd1.0_s3,alibi,3,False,-1,0.5050141215324402,0.9858154915812896,"[56, 4, 6, 19, 41]",0.026496686041355133,6.602466106414795,0.0018837818643078208,0.30414244532585144,2.5837454795837402
p113_add_f0.3_learned_L1_wd1.0_s0,learned,0,False,-1,0.3477250039577484,0.958549964833939,"[35, 5, 24, 34, 23]",0.5920478105545044,2.591998815536499,0.0011676052818074822,0.14425677061080933,4.422182083129883
p113_add_f0.3_learned_L1_wd1.0_s1,learned,1,False,-1,0.5672438144683838,0.9966405745164307,"[16, 1, 35, 26, 24]",0.0013730460777878761,12.363940238952637,7.029366679489613e-05,0.3236401677131653,7.282568454742432
p113_add_f0.3_learned_L1_wd1.0_s2,learned,2,False,-1,0.7944181561470032,0.9992235742264403,"[44, 3, 4, 17, 25]",9.296397911384702e-05,11.469512939453125,0.00028929937980137765,0.568329930305481,3.728158712387085
p113_add_f0.3_learned_L1_wd1.0_s3,learned,3,False,-1,0.8444265723228455,0.99964091522918,"[16, 30, 45, 41, 32]",1.4030825923327939e-07,14.177542686462402,3.950401605834486e-07,0.510684609413147,8.293848991394043
p113_add_f0.3_nope_L1_wd1.0_s0,nope,0,False,-1,0.8112070560455322,0.9984675919681754,"[17, 24, 6, 19, 56]",5.274746861516633e-09,16.10636329650879,2.1305156394646474e-07,0.5216958522796631,3.6773009300231934
p113_add_f0.3_nope_L1_wd1.0_s1,nope,1,False,-1,0.8157830834388733,0.99908868472898,"[32, 26, 1, 47, 18]",7.384645073216234e-08,16.48074722290039,3.1563996572003816e-07,0.518071174621582,0.751444935798645
p113_add_f0.3_nope_L1_wd1.0_s2,nope,2,False,-1,0.8114383816719055,0.9994366472212792,"[13, 28, 53, 56, 26]",0.00013188718003220856,15.332341194152832,0.000334043987095356,0.6744534373283386,2.4164228439331055
p113_add_f0.3_nope_L1_wd1.0_s3,nope,3,False,-1,0.36956796050071716,0.9819287818069682,"[56, 23, 19, 4, 41]",0.3117535710334778,4.523778438568115,0.0011787270195782185,0.17474067211151123,2.12019944190979
p113_add_f0.3_rope_L1_wd1.0_s0,rope,0,False,-1,0.7830621004104614,0.9967125442550705,"[6, 24, 17, 56, 14]",2.9823090699210297e-06,13.792885780334473,0.00012539388262666762,0.6455196738243103,1.0588563680648804
p113_add_f0.3_rope_L1_wd1.0_s1,rope,1,False,-1,0.8173925280570984,0.999102584227774,"[1, 26, 32, 18, 2]",1.8672604085168132e-07,17.43035316467285,3.638837995367794e-07,0.5259457230567932,1.4408737421035767
p113_add_f0.3_rope_L1_wd1.0_s2,rope,2,False,-1,0.8138241767883301,0.9877683099160891,"[46, 56, 53, 40, 51]",1.687917716708398e-08,18.466997146606445,1.075062314725983e-07,0.44696956872940063,1.1435848474502563
p113_add_f0.3_rope_L1_wd1.0_s3,rope,3,False,-1,0.49264034628868103,0.9912877632875801,"[6, 56, 4, 23, 41]",0.01873304881155491,18.335636138916016,9.352978054266714e-07,0.3034803569316864,5.870907783508301
p113_add_f0.3_sinusoidal_L1_wd1.0_s0,sinusoidal,0,False,-1,0.24762040376663208,0.8440173636420679,"[28, 3, 43, 17, 5]",3.311453104019165,0.14088484644889832,1.4507724017676082e-06,0.0765179768204689,1.7110176086425781
p113_add_f0.3_sinusoidal_L1_wd1.0_s1,sinusoidal,1,False,-1,0.41490688920021057,0.9932202728839306,"[26, 11, 32, 47, 49]",0.012621045112609863,10.121625900268555,1.5260014833984314e-06,0.10822688788175583,0.7171673774719238
p113_add_f0.3_sinusoidal_L1_wd1.0_s2,sinusoidal,2,False,-1,0.6369307637214661,0.9987265970466158,"[8, 26, 46, 27, 40]",9.874948773358483e-06,16.385601043701172,8.407686436839867e-06,0.3027952015399933,0.45207899808883667
p113_add_f0.3_sinusoidal_L1_wd1.0_s3,sinusoidal,3,False,-1,0.2500985264778137,0.780636731573726,"[56, 26, 41, 15, 4]",2.9807629585266113,0.07697709649801254,2.5118584744632244e-05,0.06616343557834625,-0.0052585601806640625
