run,pe,seed,ood,epoch,embed_fourier_conc,logit_fourier_conc,key_freqs,restricted_loss,excluded_loss,train_loss_full,attn_entropy_eq,uniform_ablation_delta
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,0,0.10206752270460129,0.2339848019573484,"[33, 20, 26, 14, 4]",4.806063175201416,4.814769744873047,4.814743995666504,0.9873851537704468,0.003696441650390625
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,1,0.10206565260887146,0.2613712221563676,"[33, 26, 4, 20, 14]",4.761572360992432,4.755252361297607,4.755193710327148,0.907329797744751,0.0012612342834472656
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,2,0.10206785053014755,0.2619230943247903,"[33, 26, 4, 14, 32]",4.756300926208496,4.736145973205566,4.7360310554504395,0.8264398574829102,-0.003914833068847656
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,3,0.10207052528858185,0.2588587554883826,"[4, 33, 26, 44, 32]",4.760739803314209,4.7295918464660645,4.729489326477051,0.782902717590332,-0.006001949310302734
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,5,0.10207238048315048,0.2388135713563497,"[33, 44, 14, 4, 26]",4.758022785186768,4.713746547698975,4.713596343994141,0.7694664001464844,-0.0021829605102539062
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,6,0.10207659751176834,0.226699606210667,"[14, 33, 44, 4, 26]",4.754340171813965,4.705868244171143,4.705687522888184,0.7742816209793091,-0.0010094642639160156
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,9,0.10208120942115784,0.20032786639465297,"[14, 33, 44, 35, 48]",4.746124267578125,4.685086250305176,4.68480920791626,0.7839580774307251,-0.00041866302490234375
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,12,0.1020859032869339,0.19993145633984313,"[14, 35, 13, 48, 17]",4.7427167892456055,4.663580894470215,4.662850379943848,0.7644946575164795,-0.0011539459228515625
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,17,0.10209456831216812,0.21411012398220686,"[14, 24, 5, 39, 51]",4.741855144500732,4.617229461669922,4.615940570831299,0.6382721662521362,0.0025310516357421875
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,23,0.1021069586277008,0.23257208090699577,"[14, 5, 24, 48, 51]",4.737490177154541,4.541489601135254,4.537654399871826,0.432302862405777,0.005488872528076172
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,31,0.10210620611906052,0.2488559483557366,"[5, 48, 24, 14, 6]",4.728796482086182,4.401901721954346,4.390133857727051,0.27168911695480347,-0.005475521087646484
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,42,0.1021297350525856,0.2570729958421074,"[5, 6, 24, 13, 17]",4.714639663696289,4.14518928527832,4.112297058105469,0.16289372742176056,-0.031847476959228516
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,57,0.1022007018327713,0.3032112364717613,"[6, 24, 17, 5, 13]",4.674993991851807,3.6821775436401367,3.592395782470703,0.09774831682443619,-0.04174470901489258
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,79,0.10234787315130234,0.3259656929543328,"[24, 6, 17, 43, 13]",4.597345352172852,2.8194732666015625,2.5826985836029053,0.05610067769885063,0.08798789978027344
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,107,0.10262460261583328,0.3320447780205466,"[24, 6, 17, 43, 19]",4.752147674560547,1.4834539890289307,1.0664215087890625,0.042232345789670944,0.3668656349182129
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,146,0.1030900627374649,0.32542826770646976,"[24, 6, 43, 17, 13]",5.314648151397705,0.3993847072124481,0.15799039602279663,0.039147213101387024,-0.15697669982910156
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,200,0.10337462276220322,0.32923191479592395,"[24, 6, 43, 17, 13]",5.003814697265625,0.28922829031944275,0.11325738579034805,0.043596524745225906,-0.22170066833496094
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,273,0.10392733663320541,0.329052840659726,"[24, 6, 43, 17, 13]",4.605398178100586,0.2224586009979248,0.08861979842185974,0.05070853978395462,-0.14998149871826172
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,373,0.10510258376598358,0.34023945070177886,"[24, 43, 6, 17, 13]",4.4479217529296875,0.1309795081615448,0.038599856197834015,0.06247323751449585,-0.3175210952758789
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,509,0.10686128586530685,0.3483037079040041,"[24, 43, 6, 17, 13]",4.466240406036377,0.05164741352200508,0.010460441932082176,0.0772521048784256,-0.3029489517211914
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,696,0.11023915559053421,0.35897335783507195,"[24, 43, 6, 17, 13]",4.836643695831299,0.015215183608233929,0.0012776313815265894,0.09092649072408676,-0.35140323638916016
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,950,0.11681099981069565,0.3654161558020556,"[24, 43, 6, 17, 13]",5.50380277633667,0.004596780054271221,0.00046394055243581533,0.09034111350774765,-0.6007423400878906
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,1298,0.12333550304174423,0.37868261939436915,"[24, 6, 43, 17, 13]",4.504022121429443,0.006161708850413561,0.0002482167328707874,0.1099751740694046,-0.35209083557128906
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,1772,0.13184349238872528,0.39832361224809143,"[24, 6, 43, 17, 13]",5.298796653747559,0.0005574005772359669,2.441172227918287e-06,0.12054596841335297,-0.7839956283569336
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,2420,0.14144733548164368,0.4499372878707112,"[24, 54, 6, 43, 17]",3.8117313385009766,0.06029079854488373,0.010015247389674187,0.11520121246576309,0.5907998085021973
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,3305,0.15442568063735962,0.4308257621597998,"[24, 6, 17, 43, 13]",5.3976640701293945,0.0007802190957590938,1.9588587747421116e-06,0.09933166205883026,-2.507512092590332
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,4514,0.16808272898197174,0.49725437494527863,"[24, 17, 6, 43, 13]",4.976244926452637,0.0022315823007375,5.441433131636586e-06,0.09173021465539932,-2.407952308654785
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,6165,0.18454644083976746,0.5682868928594996,"[24, 17, 6, 43, 13]",3.6977362632751465,0.133135125041008,0.0072852615267038345,0.140297994017601,0.12249231338500977
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,alibi,0,False,8419,0.22355756163597107,0.7992364859571236,"[24, 17, 6, 43, 13]",3.4873812198638916,0.13292762637138367,3.990481218352215e-06,0.09681420028209686,-1.3477392196655273
