epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.884276,0.0068,4.797527,0.0085,,1.18
5,4.709026,0.0149,4.779332,0.0073,,4.91
10,4.658271,0.0222,4.800297,0.0054,,8.71
15,4.597894,0.0363,4.830751,0.0046,,12.50
20,4.519984,0.0493,4.880410,0.0049,,16.29
25,4.420863,0.0632,4.970869,0.0050,,20.06
30,4.301298,0.0789,5.107336,0.0059,,23.76
35,4.162135,0.0914,5.275912,0.0070,,27.42
40,4.003167,0.1253,5.454812,0.0078,,31.16
45,3.825811,0.1551,5.650689,0.0098,,34.96
50,3.631241,0.1948,5.863671,0.0120,,38.63
55,3.421520,0.2277,6.081665,0.0162,,42.36
60,3.197474,0.2726,6.320257,0.0234,,46.16
65,2.960360,0.3251,6.589905,0.0311,,49.79
70,2.710999,0.3650,6.891081,0.0423,,53.42
75,2.448507,0.4128,7.229235,0.0550,,57.01
80,2.172231,0.4762,7.618457,0.0722,,60.72
85,1.885041,0.5493,8.073550,0.0980,,64.32
90,1.601448,0.6240,8.571533,0.1210,,67.88
95,1.322660,0.7023,9.151278,0.1491,,71.68
100,1.057328,0.7760,9.824835,0.1768,,75.44
105,0.816299,0.8444,10.616954,0.1986,,79.11
110,0.616747,0.8880,11.488433,0.2133,,82.72
115,0.468061,0.9104,12.422491,0.2214,,86.33
120,0.367774,0.9191,13.363500,0.2243,,90.07
125,0.305112,0.9225,14.236308,0.2275,,93.81
130,0.266605,0.9261,14.982732,0.2269,,97.33
135,0.242076,0.9279,15.575538,0.2288,,100.97
140,0.226519,0.9290,16.025778,0.2306,,104.69
145,0.216310,0.9305,16.322664,0.2308,,108.28
150,0.209751,0.9316,16.497061,0.2311,,111.90
155,0.204690,0.9313,16.571817,0.2317,,115.54
160,0.198959,0.9334,16.590189,0.2317,,119.09
165,0.193574,0.9360,16.585438,0.2320,,122.73
170,0.188405,0.9379,16.573946,0.2316,,126.42
175,0.184114,0.9386,16.564651,0.2317,,130.15
180,0.180220,0.9402,16.559753,0.2324,,133.83
185,0.176466,0.9420,16.552889,0.2321,,137.60
190,0.172225,0.9420,16.547428,0.2328,,141.28
195,0.168145,0.9439,16.549965,0.2318,,144.93
200,0.163934,0.9457,16.569071,0.2326,,148.53
205,0.159685,0.9470,16.595806,0.2327,,152.17
210,0.156100,0.9475,16.612759,0.2335,,155.84
215,0.151196,0.9473,16.617292,0.2340,,159.58
220,0.147740,0.9507,16.627241,0.2338,,163.30
225,0.141910,0.9517,16.644545,0.2337,,167.17
230,0.137299,0.9530,16.670929,0.2349,,170.83
235,0.132616,0.9540,16.709276,0.2349,,174.61
240,0.128621,0.9538,16.757683,0.2360,,178.37
245,0.124810,0.9554,16.799685,0.2368,,182.13
250,0.120717,0.9574,16.831900,0.2367,,185.79
255,0.117360,0.9585,16.868961,0.2377,,189.37
260,0.114064,0.9577,16.890226,0.2382,,193.09
265,0.111180,0.9601,16.899023,0.2377,,196.81
270,0.107886,0.9608,16.907934,0.2382,,200.66
275,0.105006,0.9619,16.915611,0.2382,,204.29
280,0.101501,0.9637,16.926716,0.2386,,207.94
285,0.097844,0.9653,16.941948,0.2400,,211.83
290,0.094424,0.9661,16.959362,0.2400,,215.57
295,0.091943,0.9655,16.975716,0.2402,,219.57
300,0.088950,0.9674,16.981255,0.2406,,223.49
305,0.085282,0.9689,16.989073,0.2404,,227.20
310,0.081913,0.9700,17.001350,0.2402,,231.00
315,0.079846,0.9697,17.019735,0.2420,,234.69
320,0.077440,0.9715,17.042076,0.2421,,238.36
325,0.075216,0.9723,17.057981,0.2417,,242.12
330,0.073523,0.9713,17.064169,0.2435,,245.78
335,0.072024,0.9721,17.072420,0.2443,,249.40
340,0.070123,0.9728,17.080034,0.2442,,253.02
345,0.067299,0.9742,17.085445,0.2452,,256.57
350,0.065357,0.9755,17.089972,0.2456,,260.16
355,0.063554,0.9760,17.066870,0.2466,,263.75
360,0.062260,0.9755,17.050692,0.2460,,267.28
365,0.061136,0.9757,17.026178,0.2472,,270.78
370,0.058914,0.9773,16.995253,0.2472,,274.35
375,0.056485,0.9781,16.981041,0.2464,,278.10
380,0.054299,0.9791,16.977503,0.2470,,281.78
385,0.051837,0.9804,16.978760,0.2476,,285.63
390,0.050728,0.9804,16.977371,0.2487,,289.50
395,0.049039,0.9807,16.994492,0.2498,,293.03
400,0.047353,0.9812,16.998091,0.2501,,296.61
405,0.045519,0.9825,17.002661,0.2515,,300.24
410,0.044421,0.9828,17.011801,0.2510,,303.80
415,0.043606,0.9825,17.010914,0.2505,,307.39
420,0.042662,0.9825,17.012545,0.2508,,311.30
