epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,5.042392,0.0086,4.857066,0.0103,,1.16
5,4.733646,0.0131,4.774269,0.0067,,4.90
10,4.698036,0.0146,4.772783,0.0053,,8.20
15,4.665156,0.0172,4.787243,0.0058,,11.61
20,4.621643,0.0272,4.802401,0.0059,,14.86
25,4.566737,0.0428,4.827654,0.0065,,18.22
30,4.496184,0.0582,4.872361,0.0063,,21.62
35,4.407079,0.0684,4.944818,0.0057,,24.97
40,4.299101,0.0775,5.057930,0.0059,,28.23
45,4.173066,0.0943,5.202454,0.0066,,31.53
50,4.030064,0.1136,5.363958,0.0087,,34.82
55,3.871374,0.1420,5.528486,0.0115,,37.96
60,3.697424,0.1755,5.700387,0.0134,,41.15
65,3.510261,0.2159,5.884896,0.0186,,44.51
70,3.321622,0.2567,6.074781,0.0219,,47.78
75,3.138973,0.2869,6.256888,0.0282,,51.02
80,2.954113,0.3183,6.453928,0.0319,,54.62
85,2.767518,0.3538,6.655895,0.0384,,58.09
90,2.578272,0.3948,6.873728,0.0478,,61.49
95,2.382762,0.4321,7.119057,0.0593,,64.87
100,2.189092,0.4755,7.356127,0.0715,,68.14
105,1.994146,0.5217,7.610959,0.0846,,71.45
110,1.795361,0.5700,7.893241,0.1003,,74.94
115,1.587786,0.6235,8.219421,0.1176,,78.14
120,1.383230,0.6833,8.606057,0.1368,,81.53
125,1.188213,0.7457,8.982313,0.1590,,84.87
130,0.997377,0.8003,9.412582,0.1806,,88.24
135,0.822863,0.8486,9.896979,0.2007,,91.44
140,0.664804,0.8935,10.423064,0.2184,,94.72
145,0.531236,0.9227,10.980977,0.2328,,97.89
150,0.422405,0.9373,11.552578,0.2424,,101.08
155,0.339141,0.9480,12.129057,0.2508,,104.36
160,0.278903,0.9512,12.677821,0.2551,,107.74
165,0.236041,0.9535,13.187580,0.2580,,110.94
170,0.206087,0.9540,13.632163,0.2593,,114.38
175,0.184698,0.9548,14.005151,0.2600,,117.66
180,0.168809,0.9556,14.307315,0.2605,,121.05
185,0.156734,0.9572,14.551959,0.2608,,124.45
190,0.147352,0.9580,14.751072,0.2608,,127.96
195,0.139473,0.9598,14.906924,0.2601,,131.31
200,0.133096,0.9595,15.034780,0.2602,,134.83
205,0.127634,0.9606,15.140772,0.2596,,138.29
210,0.123081,0.9616,15.227371,0.2593,,141.78
